Title,Excerpt,Pub_Date
Consuming APIs responsibly,Or Etiquette and table manner for pinging other people server,Nov 2022
Create a series of post with navigation in Jekyll,Add Jekyll post into a series with series navigation,Feb 2022
A practical guide to light and dark mode in Bootstrap 5 and Jekyll,Implementing light and dark mode on your Bootstrap 5 Jekyll website,Jan 2022
Nemo The Ubuntu file manager you did not know you needed,Celebrate 2022 with a shiny new file manager for Ubuntu,Jan 2022
Announcing Fediverseto,I have been working on a search engine for Fediverse instance,Jan 2022
Easy pretty URL redirects with Jekyll and Netlify,Combine Jekyll and Netlify to create pretty URL redirects a easy a 123,Nov 2021
Linking Jekyll page back to their Git source code,Add a link back to the public Git hosting link for any static Jekyll blog,Nov 2021
Optimising JPG and PNG image for a Jekyll website,Use CLI tool to generate resized and optimised thumbnail for article header image,Nov 2021
Quick and easy clientside JavaScript search with Lunrjs,Display search result from any JSON data object in the browser using Lunrjs,Nov 2021
Creating light and dark theme for website the right way using preferscolorscheme,Blur the line between desktop and web by letting the OS style your website or webapp,Oct 2021
Make Linux apps for Notion Mastodon or any web app using Nativefier,Notion is an awesome life manager And Mastodon is great for decentralised internet shenanigan With Nativefier I can now enjoy them a apps on Ubuntu 2004,Oct 2021
Inserting dynamic data into Jekyll static site using Python or Bash,Autogenerate Jekyll configuration file with content and avoid creating an API backend,Oct 2021
Introduction to Ansible,Ansible is the answer to custom script and tooling that eventually snowball into a kludge which break more thing than it fix,Aug 2021
Introduction to YAML,What is YAML and why is it about time we started using it,Aug 2021
Introduction to Jekyll,Jekyll is a framework for building website write your content in Markdown use HTMLCSS for structure and presentation and Jekyll compiles it all into static HTML No server No backends No fuss,Aug 2021
Multimachine Setup and Configuration with Vagrant,If you ever need to test an app and a database did you know you can use Vagrant to bring up multiple testing machine at once Here is how,Aug 2021
Provisioning with Vagrant,Ansible work well to provision a Vagrant box with everything installed from the getgo,Aug 2021
Introduction to Vagrant,Vagrant help you run other operating system on your computer meaning you can build thing test thing and do crazy shit without blowing up your own system,Aug 2021
A Guide to Web Scraping in Python using BeautifulSoup,Webscraping is a useful but often neglected technical skill The BeautifulSoup library in Python make extracting HTML from web page easy Do with that what you will,Aug 2021
Using variable in Jekyll to define custom content,I recently discovered that Jekylls configyml can be used to define custom variable for reusing content I feel like I have been living under a rock all this time But to err over and over again is human,Aug 2021
The evolution of ayushsharmain Jekyll Bootstrap Netlify static website and responsive design,In this article I will highlight some idea for Jekyll collection blog category page responsive webdesign and netlifytoml to make static website maintenance a breeze,Jul 2021
5 key best practice for sane and usable Terraform setup,These are the top 5 lesson I have learned after 5 year of Terraforming,Jul 2021
Cloud Infrastructure SAST Scanning Terraform for security vulnerability and noncompliance using Checkov,In this article I explore Checkov a static code analysis tool for Terraform,Jul 2021
Terraform Helm A match made in heavenhell,I have just discovered that Terraform can deploy Helm Charts a well But I am not sure if I like it,Jul 2021
Automating ArgoCD using ArgoCD,In this tutorial I will show you how to automatically create multiple Applications in ArgoCD using ArgoCD,Jul 2021
Getting started with ArgoCD,In this post we meet ArgoCD a simple pullbased GitOps deployment tool which syncs K8s manifest file with a cluster for easy and nononsense deployment,Jul 2021
Creating readytouse AWS Security Groups using Terraform Registry Named Groups and Named Rules,Create parameterized AWS security group quickly and consistently with Terraform Registry,Sep 2020
Creating AWS VPCs in 2 minute with Terraform Registry,Create parameterized AWS VPCs quickly and consistently with Terraform Registry,Sep 2020
Continuous delivery on GitLab Pushing Docker image to DockerHub using GitLab Pipelines,Build and push Docker image to DockerHub using GitLabs Pipelines feature,Jun 2020
Configuring Elasticsearch snapshot using SLM on Google Compute Engine,A tutorial on how to configure automatic snapshot of Elasticsearch using the inbuilt Snapshot Lifecycle Manager on Google Compute Engine,Jun 2020
Working From Home and Software Engineering,Your time and attention is your primary resource so deploy it wisely,Jun 2020
The Virus and the Cloud Tips on AWS costsaving in these weird time,2020 is the year startup are trying to save aggresively on cloud spend I list down some key learning based on my experience,Apr 2020
Replicating Bitbucket Pipelines on your laptop for local debugging,I love Bitbucket Pipelines and debugging them on your laptop is even easier thanks to Docker container I will show you how to debug Serverless deployment and diagnose broken build,Mar 2020
Cloning another Bitbucket repository in Bitbucket Pipelines,I will show you how to allow one Bitbucket repo to clone another during a Pipeline build,Feb 2020
Deploying git submodules in Bitbucket Pipelines,Git submodules make it easy have repos for common dependency but how to actually clone them in your Bitbucket Pipeline,Feb 2020
Automating Amazon Elastic Container ECR container build using Bitbucket Pipelines,I will show you how to build a Docker image in a Pipeline and push it to a container registry in this case Amazon ECR,Aug 2019
Taming AWS cost with Cost and Usage Reports AWS Athena,AWS Cost Usage Reports with AWS Athena are vital for understanding cloud spend I will show you some handy Athena query to break thing down,Aug 2019
Exporting Bitucket repository and Pipelines with Python,Bitbucket doe not offer a dashboard yet or an easy way to fetch information for all your repos and Pipelines So I wrote a handy Python script for the job It is great for configuring alert or building nearrealtime dashboard,Jun 2019
Rediscovering Logo with Bob the turtle,My very first programming language wa Logo I can still remember guiding that fuzzy little onscreen turtle to draw simple and complex shape So I found the Logo Python module and took a walk down memory lane,Jun 2019
Automating Serverless framework deployment using Bitbucket Pipelines,The opensource Serverless framework make it easy to build and deploy Lambda stack I will walk you through deploying Serverless apps automatically using Pipelines,May 2019
