Title,Excerpt,Pub_Date,Stemmed_Title,Stemmed_Excerpt,Stemmed_Pub_Date
Consuming APIs responsibly,Or Etiquette and table manner for pinging other people server,Nov 2022,consum api respons,or etiquett and tabl manner for ping other peopl server,nov 2022
Create a series of post with navigation in Jekyll,Add Jekyll post into a series with series navigation,Feb 2022,creat a seri of post with navig in jekyl,add jekyl post into a seri with seri navig,feb 2022
A practical guide to light and dark mode in Bootstrap 5 and Jekyll,Implementing light and dark mode on your Bootstrap 5 Jekyll website,Jan 2022,a practic guid to light and dark mode in bootstrap 5 and jekyl,implement light and dark mode on your bootstrap 5 jekyl websit,jan 2022
Nemo The Ubuntu file manager you did not know you needed,Celebrate 2022 with a shiny new file manager for Ubuntu,Jan 2022,nemo the ubuntu file manag you did not know you need,celebr 2022 with a shini new file manag for ubuntu,jan 2022
Announcing Fediverseto,I have been working on a search engine for Fediverse instance,Jan 2022,announc fediverseto,i have been work on a search engin for fedivers instanc,jan 2022
Easy pretty URL redirects with Jekyll and Netlify,Combine Jekyll and Netlify to create pretty URL redirects a easy a 123,Nov 2021,easi pretti url redirect with jekyl and netlifi,combin jekyl and netlifi to creat pretti url redirect a easi a 123,nov 2021
Linking Jekyll page back to their Git source code,Add a link back to the public Git hosting link for any static Jekyll blog,Nov 2021,link jekyl page back to their git sourc code,add a link back to the public git host link for ani static jekyl blog,nov 2021
Optimising JPG and PNG image for a Jekyll website,Use CLI tool to generate resized and optimised thumbnail for article header image,Nov 2021,optimis jpg and png imag for a jekyl websit,use cli tool to gener resiz and optimis thumbnail for articl header imag,nov 2021
Quick and easy clientside JavaScript search with Lunrjs,Display search result from any JSON data object in the browser using Lunrjs,Nov 2021,quick and easi clientsid javascript search with lunrj,display search result from ani json data object in the browser use lunrj,nov 2021
Creating light and dark theme for website the right way using preferscolorscheme,Blur the line between desktop and web by letting the OS style your website or webapp,Oct 2021,creat light and dark theme for websit the right way use preferscolorschem,blur the line between desktop and web by let the os style your websit or webapp,oct 2021
Make Linux apps for Notion Mastodon or any web app using Nativefier,Notion is an awesome life manager And Mastodon is great for decentralised internet shenanigan With Nativefier I can now enjoy them a apps on Ubuntu 2004,Oct 2021,make linux app for notion mastodon or ani web app use nativefi,notion is an awesom life manag and mastodon is great for decentralis internet shenanigan with nativefi i can now enjoy them a app on ubuntu 2004,oct 2021
Inserting dynamic data into Jekyll static site using Python or Bash,Autogenerate Jekyll configuration file with content and avoid creating an API backend,Oct 2021,insert dynam data into jekyl static site use python or bash,autogener jekyl configur file with content and avoid creat an api backend,oct 2021
Introduction to Ansible,Ansible is the answer to custom script and tooling that eventually snowball into a kludge which break more thing than it fix,Aug 2021,introduct to ansibl,ansibl is the answer to custom script and tool that eventu snowbal into a kludg which break more thing than it fix,aug 2021
Introduction to YAML,What is YAML and why is it about time we started using it,Aug 2021,introduct to yaml,what is yaml and whi is it about time we start use it,aug 2021
Introduction to Jekyll,Jekyll is a framework for building website write your content in Markdown use HTMLCSS for structure and presentation and Jekyll compiles it all into static HTML No server No backends No fuss,Aug 2021,introduct to jekyl,jekyl is a framework for build websit write your content in markdown use htmlcss for structur and present and jekyl compil it all into static html no server no backend no fuss,aug 2021
Multimachine Setup and Configuration with Vagrant,If you ever need to test an app and a database did you know you can use Vagrant to bring up multiple testing machine at once Here is how,Aug 2021,multimachin setup and configur with vagrant,if you ever need to test an app and a databas did you know you can use vagrant to bring up multipl test machin at onc here is how,aug 2021
Provisioning with Vagrant,Ansible work well to provision a Vagrant box with everything installed from the getgo,Aug 2021,provis with vagrant,ansibl work well to provis a vagrant box with everyth instal from the getgo,aug 2021
Introduction to Vagrant,Vagrant help you run other operating system on your computer meaning you can build thing test thing and do crazy shit without blowing up your own system,Aug 2021,introduct to vagrant,vagrant help you run other oper system on your comput mean you can build thing test thing and do crazi shit without blow up your own system,aug 2021
A Guide to Web Scraping in Python using BeautifulSoup,Webscraping is a useful but often neglected technical skill The BeautifulSoup library in Python make extracting HTML from web page easy Do with that what you will,Aug 2021,a guid to web scrape in python use beautifulsoup,webscrap is a use but often neglect technic skill the beautifulsoup librari in python make extract html from web page easi do with that what you will,aug 2021
Using variable in Jekyll to define custom content,I recently discovered that Jekylls configyml can be used to define custom variable for reusing content I feel like I have been living under a rock all this time But to err over and over again is human,Aug 2021,use variabl in jekyl to defin custom content,i recent discov that jekyl configyml can be use to defin custom variabl for reus content i feel like i have been live under a rock all thi time but to err over and over again is human,aug 2021
The evolution of ayushsharmain Jekyll Bootstrap Netlify static website and responsive design,In this article I will highlight some idea for Jekyll collection blog category page responsive webdesign and netlifytoml to make static website maintenance a breeze,Jul 2021,the evolut of ayushsharmain jekyl bootstrap netlifi static websit and respons design,in thi articl i will highlight some idea for jekyl collect blog categori page respons webdesign and netlifytoml to make static websit mainten a breez,jul 2021
5 key best practice for sane and usable Terraform setup,These are the top 5 lesson I have learned after 5 year of Terraforming,Jul 2021,5 key best practic for sane and usabl terraform setup,these are the top 5 lesson i have learn after 5 year of terraform,jul 2021
Cloud Infrastructure SAST Scanning Terraform for security vulnerability and noncompliance using Checkov,In this article I explore Checkov a static code analysis tool for Terraform,Jul 2021,cloud infrastructur sast scan terraform for secur vulner and noncompli use checkov,in thi articl i explor checkov a static code analysi tool for terraform,jul 2021
Terraform Helm A match made in heavenhell,I have just discovered that Terraform can deploy Helm Charts a well But I am not sure if I like it,Jul 2021,terraform helm a match made in heavenhel,i have just discov that terraform can deploy helm chart a well but i am not sure if i like it,jul 2021
Automating ArgoCD using ArgoCD,In this tutorial I will show you how to automatically create multiple Applications in ArgoCD using ArgoCD,Jul 2021,autom argocd use argocd,in thi tutori i will show you how to automat creat multipl applic in argocd use argocd,jul 2021
Getting started with ArgoCD,In this post we meet ArgoCD a simple pullbased GitOps deployment tool which syncs K8s manifest file with a cluster for easy and nononsense deployment,Jul 2021,get start with argocd,in thi post we meet argocd a simpl pullbas gitop deploy tool which sync k8 manifest file with a cluster for easi and nononsens deploy,jul 2021
Creating readytouse AWS Security Groups using Terraform Registry Named Groups and Named Rules,Create parameterized AWS security group quickly and consistently with Terraform Registry,Sep 2020,creat readytous aw secur group use terraform registri name group and name rule,creat parameter aw secur group quickli and consist with terraform registri,sep 2020
Creating AWS VPCs in 2 minute with Terraform Registry,Create parameterized AWS VPCs quickly and consistently with Terraform Registry,Sep 2020,creat aw vpc in 2 minut with terraform registri,creat parameter aw vpc quickli and consist with terraform registri,sep 2020
Continuous delivery on GitLab Pushing Docker image to DockerHub using GitLab Pipelines,Build and push Docker image to DockerHub using GitLabs Pipelines feature,Jun 2020,continu deliveri on gitlab push docker imag to dockerhub use gitlab pipelin,build and push docker imag to dockerhub use gitlab pipelin featur,jun 2020
Configuring Elasticsearch snapshot using SLM on Google Compute Engine,A tutorial on how to configure automatic snapshot of Elasticsearch using the inbuilt Snapshot Lifecycle Manager on Google Compute Engine,Jun 2020,configur elasticsearch snapshot use slm on googl comput engin,a tutori on how to configur automat snapshot of elasticsearch use the inbuilt snapshot lifecycl manag on googl comput engin,jun 2020
Working From Home and Software Engineering,Your time and attention is your primary resource so deploy it wisely,Jun 2020,work from home and softwar engin,your time and attent is your primari resourc so deploy it wise,jun 2020
The Virus and the Cloud Tips on AWS costsaving in these weird time,2020 is the year startup are trying to save aggresively on cloud spend I list down some key learning based on my experience,Apr 2020,the viru and the cloud tip on aw costsav in these weird time,2020 is the year startup are tri to save aggres on cloud spend i list down some key learn base on my experi,apr 2020
Replicating Bitbucket Pipelines on your laptop for local debugging,I love Bitbucket Pipelines and debugging them on your laptop is even easier thanks to Docker container I will show you how to debug Serverless deployment and diagnose broken build,Mar 2020,replic bitbucket pipelin on your laptop for local debug,i love bitbucket pipelin and debug them on your laptop is even easier thank to docker contain i will show you how to debug serverless deploy and diagnos broken build,mar 2020
Cloning another Bitbucket repository in Bitbucket Pipelines,I will show you how to allow one Bitbucket repo to clone another during a Pipeline build,Feb 2020,clone anoth bitbucket repositori in bitbucket pipelin,i will show you how to allow one bitbucket repo to clone anoth dure a pipelin build,feb 2020
Deploying git submodules in Bitbucket Pipelines,Git submodules make it easy have repos for common dependency but how to actually clone them in your Bitbucket Pipeline,Feb 2020,deploy git submodul in bitbucket pipelin,git submodul make it easi have repo for common depend but how to actual clone them in your bitbucket pipelin,feb 2020
Automating Amazon Elastic Container ECR container build using Bitbucket Pipelines,I will show you how to build a Docker image in a Pipeline and push it to a container registry in this case Amazon ECR,Aug 2019,autom amazon elast contain ecr contain build use bitbucket pipelin,i will show you how to build a docker imag in a pipelin and push it to a contain registri in thi case amazon ecr,aug 2019
Taming AWS cost with Cost and Usage Reports AWS Athena,AWS Cost Usage Reports with AWS Athena are vital for understanding cloud spend I will show you some handy Athena query to break thing down,Aug 2019,tame aw cost with cost and usag report aw athena,aw cost usag report with aw athena are vital for understand cloud spend i will show you some handi athena queri to break thing down,aug 2019
Exporting Bitucket repository and Pipelines with Python,Bitbucket doe not offer a dashboard yet or an easy way to fetch information for all your repos and Pipelines So I wrote a handy Python script for the job It is great for configuring alert or building nearrealtime dashboard,Jun 2019,export bitucket repositori and pipelin with python,bitbucket doe not offer a dashboard yet or an easi way to fetch inform for all your repo and pipelin so i wrote a handi python script for the job it is great for configur alert or build nearrealtim dashboard,jun 2019
Rediscovering Logo with Bob the turtle,My very first programming language wa Logo I can still remember guiding that fuzzy little onscreen turtle to draw simple and complex shape So I found the Logo Python module and took a walk down memory lane,Jun 2019,rediscov logo with bob the turtl,my veri first program languag wa logo i can still rememb guid that fuzzi littl onscreen turtl to draw simpl and complex shape so i found the logo python modul and took a walk down memori lane,jun 2019
Automating Serverless framework deployment using Bitbucket Pipelines,The opensource Serverless framework make it easy to build and deploy Lambda stack I will walk you through deploying Serverless apps automatically using Pipelines,May 2019,autom serverless framework deploy use bitbucket pipelin,the opensourc serverless framework make it easi to build and deploy lambda stack i will walk you through deploy serverless app automat use pipelin,may 2019
Automating AWS Lambda deployment using Bitbucket Pipelines and Bitbucket Pipes,Pipes is another great Continuous Delivery feature in Bitbucket prebuilt readytouse and parameterized deployment job,May 2019,autom aw lambda deploy use bitbucket pipelin and bitbucket pipe,pipe is anoth great continu deliveri featur in bitbucket prebuilt readytous and parameter deploy job,may 2019
Algorithms in Python Exchange Sorts,Notes on implementing the basic Exchange sort algorithm in Python,Mar 2019,algorithm in python exchang sort,note on implement the basic exchang sort algorithm in python,mar 2019
The Three Ways of DevOps Notes on The Phoenix Project,The Phoenix Project is one of the most approachable book for DevOps available today Highly recommended especially if you do not already know Conways Law,Jan 2019,the three way of devop note on the phoenix project,the phoenix project is one of the most approach book for devop avail today highli recommend especi if you do not alreadi know conway law,jan 2019
Working with NumPy in Python,My Udacity Python Nanodegree introduced using NumPy to handle large array and datasets in Python I put some note togther for referencing later,Oct 2018,work with numpi in python,my udac python nanodegre introduc use numpi to handl larg array and dataset in python i put some note togther for referenc later,oct 2018
Data Types in Python,Some quick note describing the basic data type in Python3 and their feature,Sep 2018,data type in python,some quick note describ the basic data type in python3 and their featur,sep 2018
Dockerizing TweetToot A practical guide to deploying your app using Docker,TweetToot is my personal project a Twitter relay for the Mastodon social network I recently dockerized the setup and put these note together to explain the process,Sep 2018,docker tweettoot a practic guid to deploy your app use docker,tweettoot is my person project a twitter relay for the mastodon social network i recent docker the setup and put these note togeth to explain the process,sep 2018
SublimeText 3 setup for Jekyll development,SublimeText ha some cool plugins for setting up a basic Jekyll development environment Take a look,Sep 2018,sublimetext 3 setup for jekyl develop,sublimetext ha some cool plugin for set up a basic jekyl develop environ take a look,sep 2018
Gartners Magic Quadrants A summary of cloud InfrastructureasaService provider over the last 5 year,Gartners Magic Quadrants wa one of the the first industry report I read which covered where the cloud vendor were headed and what their strength and weakness were I took some time to consolidate the Gartner finding over the last 5 year for comparison,Sep 2018,gartner magic quadrant a summari of cloud infrastructureasaservic provid over the last 5 year,gartner magic quadrant wa one of the the first industri report i read which cover where the cloud vendor were head and what their strength and weak were i took some time to consolid the gartner find over the last 5 year for comparison,sep 2018
TweetToot Building a bot for Mastodon using Python,I joined the Mastodon social network in 2016 and felt a need for building a Twitter relay We all left the birdsite for many reason but not the people we met So this project is a way to bring some of them over to Mastodon in practice if not in spirit,Sep 2018,tweettoot build a bot for mastodon use python,i join the mastodon social network in 2016 and felt a need for build a twitter relay we all left the birdsit for mani reason but not the peopl we met so thi project is a way to bring some of them over to mastodon in practic if not in spirit,sep 2018
Moving from CloudFlare to StackPath,I love Cloudflare but after facing some issue with TTFB I decided to move to StackPath which proved to be a lot faster and featurerich,Jul 2018,move from cloudflar to stackpath,i love cloudflar but after face some issu with ttfb i decid to move to stackpath which prove to be a lot faster and featurerich,jul 2018
