Stemmed_Title,Stemmed_Excerpt,Stemmed_Pub_Date
consum api respons,or etiquett and tabl manner for ping other peopl server,nov 2022
creat a seri of post with navig in jekyl,add jekyl post into a seri with seri navig,feb 2022
a practic guid to light and dark mode in bootstrap 5 and jekyl,implement light and dark mode on your bootstrap 5 jekyl websit,jan 2022
nemo the ubuntu file manag you did not know you need,celebr 2022 with a shini new file manag for ubuntu,jan 2022
announc fediverseto,i have been work on a search engin for fedivers instanc,jan 2022
easi pretti url redirect with jekyl and netlifi,combin jekyl and netlifi to creat pretti url redirect a easi a 123,nov 2021
link jekyl page back to their git sourc code,add a link back to the public git host link for ani static jekyl blog,nov 2021
optimis jpg and png imag for a jekyl websit,use cli tool to gener resiz and optimis thumbnail for articl header imag,nov 2021
quick and easi clientsid javascript search with lunrj,display search result from ani json data object in the browser use lunrj,nov 2021
creat light and dark theme for websit the right way use preferscolorschem,blur the line between desktop and web by let the os style your websit or webapp,oct 2021
make linux app for notion mastodon or ani web app use nativefi,notion is an awesom life manag and mastodon is great for decentralis internet shenanigan with nativefi i can now enjoy them a app on ubuntu 2004,oct 2021
insert dynam data into jekyl static site use python or bash,autogener jekyl configur file with content and avoid creat an api backend,oct 2021
introduct to ansibl,ansibl is the answer to custom script and tool that eventu snowbal into a kludg which break more thing than it fix,aug 2021
introduct to yaml,what is yaml and whi is it about time we start use it,aug 2021
introduct to jekyl,jekyl is a framework for build websit write your content in markdown use htmlcss for structur and present and jekyl compil it all into static html no server no backend no fuss,aug 2021
multimachin setup and configur with vagrant,if you ever need to test an app and a databas did you know you can use vagrant to bring up multipl test machin at onc here is how,aug 2021
provis with vagrant,ansibl work well to provis a vagrant box with everyth instal from the getgo,aug 2021
introduct to vagrant,vagrant help you run other oper system on your comput mean you can build thing test thing and do crazi shit without blow up your own system,aug 2021
a guid to web scrape in python use beautifulsoup,webscrap is a use but often neglect technic skill the beautifulsoup librari in python make extract html from web page easi do with that what you will,aug 2021
use variabl in jekyl to defin custom content,i recent discov that jekyl configyml can be use to defin custom variabl for reus content i feel like i have been live under a rock all thi time but to err over and over again is human,aug 2021
the evolut of ayushsharmain jekyl bootstrap netlifi static websit and respons design,in thi articl i will highlight some idea for jekyl collect blog categori page respons webdesign and netlifytoml to make static websit mainten a breez,jul 2021
5 key best practic for sane and usabl terraform setup,these are the top 5 lesson i have learn after 5 year of terraform,jul 2021
cloud infrastructur sast scan terraform for secur vulner and noncompli use checkov,in thi articl i explor checkov a static code analysi tool for terraform,jul 2021
terraform helm a match made in heavenhel,i have just discov that terraform can deploy helm chart a well but i am not sure if i like it,jul 2021
autom argocd use argocd,in thi tutori i will show you how to automat creat multipl applic in argocd use argocd,jul 2021
get start with argocd,in thi post we meet argocd a simpl pullbas gitop deploy tool which sync k8 manifest file with a cluster for easi and nononsens deploy,jul 2021
creat readytous aw secur group use terraform registri name group and name rule,creat parameter aw secur group quickli and consist with terraform registri,sep 2020
creat aw vpc in 2 minut with terraform registri,creat parameter aw vpc quickli and consist with terraform registri,sep 2020
continu deliveri on gitlab push docker imag to dockerhub use gitlab pipelin,build and push docker imag to dockerhub use gitlab pipelin featur,jun 2020
configur elasticsearch snapshot use slm on googl comput engin,a tutori on how to configur automat snapshot of elasticsearch use the inbuilt snapshot lifecycl manag on googl comput engin,jun 2020
work from home and softwar engin,your time and attent is your primari resourc so deploy it wise,jun 2020
the viru and the cloud tip on aw costsav in these weird time,2020 is the year startup are tri to save aggres on cloud spend i list down some key learn base on my experi,apr 2020
replic bitbucket pipelin on your laptop for local debug,i love bitbucket pipelin and debug them on your laptop is even easier thank to docker contain i will show you how to debug serverless deploy and diagnos broken build,mar 2020
clone anoth bitbucket repositori in bitbucket pipelin,i will show you how to allow one bitbucket repo to clone anoth dure a pipelin build,feb 2020
deploy git submodul in bitbucket pipelin,git submodul make it easi have repo for common depend but how to actual clone them in your bitbucket pipelin,feb 2020
autom amazon elast contain ecr contain build use bitbucket pipelin,i will show you how to build a docker imag in a pipelin and push it to a contain registri in thi case amazon ecr,aug 2019
tame aw cost with cost and usag report aw athena,aw cost usag report with aw athena are vital for understand cloud spend i will show you some handi athena queri to break thing down,aug 2019
export bitucket repositori and pipelin with python,bitbucket doe not offer a dashboard yet or an easi way to fetch inform for all your repo and pipelin so i wrote a handi python script for the job it is great for configur alert or build nearrealtim dashboard,jun 2019
rediscov logo with bob the turtl,my veri first program languag wa logo i can still rememb guid that fuzzi littl onscreen turtl to draw simpl and complex shape so i found the logo python modul and took a walk down memori lane,jun 2019
autom serverless framework deploy use bitbucket pipelin,the opensourc serverless framework make it easi to build and deploy lambda stack i will walk you through deploy serverless app automat use pipelin,may 2019
autom aw lambda deploy use bitbucket pipelin and bitbucket pipe,pipe is anoth great continu deliveri featur in bitbucket prebuilt readytous and parameter deploy job,may 2019
algorithm in python exchang sort,note on implement the basic exchang sort algorithm in python,mar 2019
the three way of devop note on the phoenix project,the phoenix project is one of the most approach book for devop avail today highli recommend especi if you do not alreadi know conway law,jan 2019
work with numpi in python,my udac python nanodegre introduc use numpi to handl larg array and dataset in python i put some note togther for referenc later,oct 2018
data type in python,some quick note describ the basic data type in python3 and their featur,sep 2018
docker tweettoot a practic guid to deploy your app use docker,tweettoot is my person project a twitter relay for the mastodon social network i recent docker the setup and put these note togeth to explain the process,sep 2018
sublimetext 3 setup for jekyl develop,sublimetext ha some cool plugin for set up a basic jekyl develop environ take a look,sep 2018
gartner magic quadrant a summari of cloud infrastructureasaservic provid over the last 5 year,gartner magic quadrant wa one of the the first industri report i read which cover where the cloud vendor were head and what their strength and weak were i took some time to consolid the gartner find over the last 5 year for comparison,sep 2018
tweettoot build a bot for mastodon use python,i join the mastodon social network in 2016 and felt a need for build a twitter relay we all left the birdsit for mani reason but not the peopl we met so thi project is a way to bring some of them over to mastodon in practic if not in spirit,sep 2018
move from cloudflar to stackpath,i love cloudflar but after face some issu with ttfb i decid to move to stackpath which prove to be a lot faster and featurerich,jul 2018
understand vendor lockin and break the cycl,i went through one of gartner report and it say the key to break vendor lockin is to commit fulli to a singl technolog vendor be it a cloud softwar provid a social network or our favorit share app it seem controversi on the surfac but i want to jot down some quick note mayb the approach is worth experi with,jul 2018
roll cluster for deploy with terraform,terraform enabl more than infrastructur provis you can even use it for deploy combin it with packer and you can have a veri power immut roll deploy pipelin,jul 2018
work with terraform modul,terraform modul featur allow quickli build reusabl infrastructur templat to provis cloud environ repeat these note will help set up a basic applic for highavail,jul 2018
get start with terraform,a basic walkthrough of terraform the opensourc cloudagnost iac tool by hashicorp the maker of vagrant,oct 2017
upgrad to http2,it is about time we all move our web properti to http2 i list down some gotcha for those look to migrat,sep 2017
http secur header referrerpolici,the web is a collect of interconnect page thi mean chanc are good that someon land on your websit is come from anoth one and when they leav your websit they take a lot of identifi inform with them http2 allow you to control what happen to the referr inform when user leav your websit,sep 2017
http secur header xcontenttypeopt,http2 introduc a new featur which basic just turn off an old default featur the browser hanker for figur out the content type of a resourc whi and how should we turn it off,sep 2017
http secur header xframeopt,inlinefram enabl veri basic phish attack you can just includ a bank main websit within your own websit and lure the user to handov their password http2 come with builtin protect against thi kind of threat,sep 2017
http secur header httpstricttransportsecur,hst is a secur featur which prevent user from access your websit over nonsecur http it come with http2 is easi to turn on but veri hard to turn off here is the whi and how,sep 2017
